ISO,Year,Value
CAN,1986,1.23249344217622
CAN,1987,1.2338134430839098
CAN,1988,1.20614240580369
CAN,1989,1.21544201892021
CAN,1990,1.18275655260154
CAN,1991,1.1115533491866
CAN,1992,1.11815412382943
CAN,1993,1.08726491118401
CAN,1994,1.05330239940291
CAN,1995,1.04825929190307
CAN,1996,1.00781241437558
CAN,1997,0.997764628189732
CAN,1998,1.01307870310204
CAN,1999,0.97625558494382
CAN,2000,0.96690719302233
CAN,2001,0.892869696771428
CAN,2002,0.8730138907638891
CAN,2003,0.841224569323636
CAN,2004,0.8691419493778759
CAN,2005,0.839875129062393
CAN,2006,0.810080440660833
CAN,2007,0.7858130699229509
CAN,2008,0.8209424938419351
CAN,2009,0.697432542798333
CAN,2010,0.7841777170685479
CAN,2011,0.7847335872382809
CAN,2012,0.76067132921
CAN,2013,0.8144782427428571
CAN,2014,0.7634300505357661
CAN,2015,0.7558204526449279
CAF,1970,5.450053927535678
CAF,1971,5.74975570615935
CAF,1972,6.31182882588794
CAF,1973,6.131843819784441
CAF,1974,6.2649260692316115
CAF,1975,6.27273698416646
CAF,1976,5.93966322672232
CAF,1977,5.607243818575388
CAF,1978,5.64509524470594
CAF,1979,5.848176813340089
CAF,1980,6.47083979803579
CAF,1981,6.48043473893206
CAF,1982,6.529598746712692
CAF,1983,7.06057629365353
CAF,1984,6.69768190630595
CAF,1985,6.65433220073439
CAF,1986,6.91086535918045
CAF,1987,7.396056377511599
CAF,1988,7.53515855699072
CAF,1989,7.52485743181112
CAF,1990,7.54993926050537
CAF,1991,7.49675744609725
CAF,1992,7.98838893046533
CAF,1993,8.17479535807508
CAF,1994,7.87492950270208
CAF,1995,7.713548660563308
CAF,1996,8.86600627938124
CAF,1997,8.27394887590784
CAF,1998,8.186927559258221
CAF,1999,7.246403486385419
CAF,2000,8.07560375956475
CAF,2001,8.155241247539259
CAF,2002,8.22117590402266
CAF,2003,8.49025507427911
CAF,2004,8.78862644363433
CAF,2005,8.81777068324007
CAF,2006,8.65622545782936
CAF,2007,8.70255793126392
CAF,2008,8.52387761465982
CAF,2009,8.51050872803169
CAF,2010,8.316274595656349
CAF,2011,8.67734775836967
CAF,2012,8.6483413168982
CAF,2013,13.646350895132999
CAF,2014,13.2781920165045
CAF,2015,12.927558908828699
TCD,1970,4.97742983769411
TCD,1971,4.8461265644932405
TCD,1972,4.90801381010731
TCD,1973,4.96506136042954
TCD,1974,4.70317459964397
TCD,1975,4.14453694514589
TCD,1976,4.29081487916969
TCD,1977,4.783573503187768
TCD,1978,5.0502851536290985
TCD,1979,6.39837562630419
TCD,1980,6.959590896757032
TCD,1981,7.518489548849749
TCD,1982,7.4748756597165
TCD,1983,6.59720733407215
TCD,1984,5.52676767275161
TCD,1985,5.985672382549231
TCD,1986,6.24150181992489
TCD,1987,6.014894215588192
TCD,1988,6.16443580602576
TCD,1989,5.795558633574999
TCD,1990,5.8192814882847
TCD,1991,6.11393604546919
TCD,1992,6.244465216187731
TCD,1993,5.739660704486001
TCD,1994,6.11710994853083
TCD,1995,6.12647529430705
TCD,1996,6.05969402980022
TCD,1997,6.294135116336991
TCD,1998,6.38398643597649
TCD,1999,6.24149207131588
TCD,2000,5.91725317395655
TCD,2001,5.995299472840951
TCD,2002,5.477849097481201
TCD,2003,5.52639954685517
TCD,2004,5.08314598668774
TCD,2005,5.17470665248704
TCD,2006,5.148275520958469
TCD,2007,4.23974779767645
TCD,2008,4.20654906983468
TCD,2009,3.8521333865798
TCD,2010,3.4942169508367904
TCD,2011,3.3588814930634903
TCD,2012,3.61751720785491
TCD,2013,3.13757038683519
TCD,2014,2.5996120135747702
TCD,2015,2.47560583715755
CHL,1970,3.7881435946854
CHL,1971,3.4197033638289303
CHL,1972,3.46069726595591
CHL,1973,3.5457566117082204
CHL,1974,4.25588539809391
CHL,1975,4.5265240951542
CHL,1976,4.9621544977082
CHL,1977,4.7211338950131205
CHL,1978,4.3941331315045495
CHL,1979,4.37946600707676
CHL,1980,3.99305803698052
CHL,1981,3.9384563098444505
CHL,1982,4.6595067051314
CHL,1983,4.90209224987995
CHL,1984,4.84939313263861
CHL,1985,4.89117351004349
CHL,1986,4.87268976870525
CHL,1987,4.572222288968599
CHL,1988,4.4755512483630895
CHL,1989,4.4844633913885
CHL,1990,4.55073196606012
CHL,1991,4.48297802755748
CHL,1992,4.26614003932567
CHL,1993,4.240126581726759
CHL,1994,4.33239162688974
CHL,1995,4.34273410380836
CHL,1996,4.83282603609827
CHL,1997,4.88165231009127
CHL,1998,5.13203443962721
CHL,1999,5.860828536634848
CHL,2000,5.85774650855296
CHL,2001,5.7802471296137306
CHL,2002,5.47480596260288
CHL,2003,5.6143179176277815
CHL,2004,5.73746707194741
CHL,2005,5.42412075413496
