SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Food Waste Sector,Nature,Observation Status,Reporting Type,Units
AG_FOOD_WST,Food waste (Tonnes),53,Australia and New Zealand,2019,2854879.36578,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),53,Australia and New Zealand,2019,672510.18273,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),53,Australia and New Zealand,2019,253170.94249,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),54,Melanesia,2019,981665.24202,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),54,Melanesia,2019,295107.44524,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),54,Melanesia,2019,173024.98044,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),56,Belgium,2019,576036.22282,2019,,,,,Food Waste Index Report 2021 / WESR,,Medium Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),56,Belgium,2019,227371.14388,2019,,,,,Food Waste Index Report 2021 / WESR,,Medium Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),56,Belgium,2019,112100.16873,2019,,,,,Food Waste Index Report 2021 / WESR,,Medium Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),57,Micronesia,2019,46058.87981,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),57,Micronesia,2019,14530.17502,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),57,Micronesia,2019,7932.22595,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),60,Bermuda,2019,4605.55498,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),60,Bermuda,2019,1598.15113,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),60,Bermuda,2019,800.70684,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),61,Polynesia,2019,52399.31526,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),61,Polynesia,2019,17333.65487,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),61,Polynesia,2019,9518.77106,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),62,Central and Southern Asia,2019,115024501.72474,2019,,,,,Food Waste Index Report 2021 / WESR,,,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),62,Central and Southern Asia,2019,49993319.39243,2019,,,,,Food Waste Index Report 2021 / WESR,,,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),62,Central and Southern Asia,2019,31704438.94719,2019,,,,,Food Waste Index Report 2021 / WESR,,,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),64,Bhutan,2019,60000.16347,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),64,Bhutan,2019,21098.2457,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),64,Bhutan,2019,11935.05844,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),68,Bolivia (Plurinational State of),2019,922011.56512,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),68,Bolivia (Plurinational State of),2019,180067.51584,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),68,Bolivia (Plurinational State of),2019,318315.04729,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),70,Bosnia and Herzegovina,2019,273269.2359,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),70,Bosnia and Herzegovina,2019,91266.29414,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),70,Bosnia and Herzegovina,2019,51628.39459,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),72,Botswana,2019,211801.64005,2019,,,,,Food Waste Index Report 2021 / WESR,,Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),72,Botswana,2019,63692.86938,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),72,Botswana,2019,36030.39461,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),76,Brazil,2019,12578308.30946,2019,,,,,Food Waste Index Report 2021 / WESR,,Medium Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),76,Brazil,2019,5835112.31321,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),76,Brazil,2019,3300862.42482,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),84,Belize,2019,20563.88619,2019,,,,,Food Waste Index Report 2021 / WESR,,Medium Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),84,Belize,2019,10793.80831,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),84,Belize,2019,6105.94524,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),90,Solomon Islands,2019,60962.63707,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),90,Solomon Islands,2019,18518.68035,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,OOHC,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),90,Solomon Islands,2019,10475.82511,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,RTL,E,A,G,TONNES
AG_FOOD_WST,Food waste (Tonnes),92,British Virgin Islands,2019,2217.62309,2019,,,,,Food Waste Index Report 2021 / WESR,,Very Low Confidence,HHS,E,A,G,TONNES
