ISO,Year,Value,Variable,Description,Source,URL
MLT,2019,56.74,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MHL,2019,270.06,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MTQ,2019,122.53,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MRT,2019,13.41,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MUS,2019,111.44,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MYT,2019,97.23,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MEX,2019,36.64,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
FSM,2019,165.29,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MDA,2019,55.78,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MCO,2019,62.0,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MNG,2019,52.56,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MNE,2019,145.27,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MSR,2019,122.37,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MAR,2019,29.15,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MOZ,2019,49.67,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MMR,2019,53.01,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NAM,2019,20.28,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NRU,2019,193.64,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NPL,2019,60.46,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NLD,2019,89.4,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NCL,2019,116.29,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NZL,2019,89.33,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NIC,2019,49.07,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NER,2019,13.21,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NGA,2019,29.64,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NIU,2019,179.79,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NFK,2019,137.36,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MNP,2019,126.08,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
NOR,2019,130.54,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
OMN,2019,15.75,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PAK,2019,33.48,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PLW,2019,172.66,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PSE,2019,38.97,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PAN,2019,36.94,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PNG,2019,183.76,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PRY,2019,34.42,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PER,2019,78.25,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PHL,2019,47.34,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PCN,2019,210.69,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
POL,2019,56.86,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PRT,2019,52.25,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
PRI,2019,63.48,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
QAT,2019,14.19,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
REU,2019,198.01,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ROU,2019,52.97,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
RUS,2019,90.54,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
RWA,2019,88.85,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
BLM,2019,95.97,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SHN,2019,196.08,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
KNA,2019,101.76,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LCA,2019,114.67,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
MAF,2019,94.18,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SPM,2019,185.37,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
VCT,2019,130.89,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
WSM,2019,151.6,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SMR,2019,34.54,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
STP,2019,154.9,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SAU,2019,14.02,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SEN,2019,20.5,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SRB,2019,85.45,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SYC,2019,143.12,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SLE,2019,59.57,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SGP,2019,233.71,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SMX,2019,,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SVK,2019,65.65,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SVN,2019,109.33,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SLB,2019,157.81,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SOM,2019,30.23,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ZAF,2019,34.68,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
ESP,2019,47.41,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
LKA,2019,127.42,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SDN,2019,10.86,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
SSD,2019,40.78,SL1,Average soil organic carbon content,FAO,http://54.229.242.119/GSOCmap/
