ISO,Year,Value,Variable,Description,Source,URL
SYC,2018,75,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYC,2019,75,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYC,2020,75,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1971,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1972,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1973,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1974,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1975,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1976,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1977,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1978,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1979,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1980,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1981,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1982,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1983,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1984,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1985,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1986,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1987,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1988,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1989,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1990,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1991,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
SYR,1992,0,GB3,"Getting paid, laws and regulations for equal gender pay score","World Bank Women, Business and the Law",http://wbl.worldbank.org/en/reports
