"Country","Flow Type","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Austria","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","19.7399232421268","21.461143914432","23.2990123496924","22.3350246200637","23.8874080680098","23.8257856398096","23.4079507747874","23.6187053788425","25.0963223246285","24.599101974081","24.588797950635","24.4588251560211","24.7659087251306","26.6501104903141","28.7192348947567","29.4534016251404","30.3472186699569","31.4472846991251","32.2178860500524","30.4951992863363","30.1279494508213","31.2095932372528","31.0769895063283","31.2552359725424","31.9336107107314","32.3908648119406","",""
"Azerbaijan","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","","","9.85112200909418","8.63905911282918","6.02159638249681","4.5816630861715","4.18226855437148","3.24000197430151","2.95099611987229","2.83149173639106","2.5551009135299","2.66851830001951","3.04006606285366","3.50703180396047","3.67638546879488","3.50843567004593","3.48571640000614","3.80380411209903","3.83930250082509","4.86531667321419","4.71883845227631","5.00701066549683","5.04736346625645","5.80417406861767","5.73395640751465","5.84886161201267","",""
"Bahamas","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","41.3476445162247","62.6552886254055","36.2649983279037","36.6306861136209","36.6619246619283","36.0892615054024","34.853687559903","37.5162491985169","35.9457563074462","36.7637349610998","39.3207401364929","30.7271424235827","30.3083329559789","26.3135195735962","25.6696473914782","29.1971859690259","28.7651079061706","24.339161278447","21.4670615943796","20.7476323355319","22.2480483884378","20.0283108496882","20.0076264541285","20.5370340963527","21.3520266072147","20.892278728619","",""
"Bahrain","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","34.3882371800042","49.7363976344736","37.4352858356225","34.1591750483487","33.6763331032812","29.2546497436716","28.6911331281096","28.0618648320437","26.5722569548939","25.3943809057207","20.8853402913677","20.4699098997975","21.2986402707602","18.4046805716949","17.8920397431153","18.7140424491415","16.0209310507564","15.0728928819133","15.2273992921525","15.6967735762976","14.3044461393192","13.4000110259155","13.3359978463936","14.1233004823529","14.4601741646046","14.6753550768677","",""
"Bangladesh","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","1.52336666089971","1.66451255468187","1.4730639431974","1.47007589422906","1.51568328716249","1.5733523408125","1.61023692901403","1.58380476097634","1.70537886298633","1.70833194526726","1.73755472232678","1.76215970145451","1.77502726743082","1.72645809232534","1.65544608407502","1.81352262704803","1.75421892236136","1.7712926702817","1.82333190489173","1.89524048950302","2.01158246491416","2.0596646164418","2.10697198581604","2.22026175873087","2.2429700481928","2.28246399986405","",""
"Barbados","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","21.9190326223048","43.6281111140879","21.3373253135203","19.7640599640429","20.1841194629093","20.2094405990293","21.9454982326841","22.022831005754","21.9225177179239","21.1971459913729","20.7135529465828","17.8218762699216","17.7931383274581","15.7442516555805","16.2733623590671","20.2543185907238","20.1090623182083","14.3260666150047","17.1454439896868","15.8812454662329","10.7859575198701","11.6582807677778","11.5221102351019","11.1307865757178","11.1525456983556","11.095890435058","",""
"Belarus","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","","","0.215122919574009","0.0543773463161399","0.042963375892438","0.112625021272709","0.162950480307923","0.207152509701293","0.0334478004731329","0.030556128532005","0.070273399815415","0.0338234389303581","0.0793153189938083","0.0321008212368364","0.0319999884485959","0.0414627623380083","0.0482310310787741","0.0454003474862708","0.0414205455062866","0.0368670099341221","0.166111865186731","0.0714244249960528","0.0717211121485894","0.381623923614453","0.38945377373763","0.400884936181434","",""
"Belgium","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","15.3015255895303","16.7243413063567","20.2294086656209","19.4830620907543","20.5132834319702","20.3919596249289","20.3520385756534","19.6316340771855","21.118824391078","21.688269152662","23.2962969816076","21.6625826481567","21.9720996818695","22.5668718778681","23.5445197172914","23.9331015214219","24.2501010154973","25.0411468467972","25.5872125412428","23.8896978807096","22.8840250181656","22.3042159711227","22.5428057765313","22.8659392410484","23.1187774589042","23.4080667006986","",""
"Belize","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","8.79434882059376","34.0948526372517","11.0584285795153","10.8051807808112","10.9492463233471","9.40877600718973","10.2216792871384","9.79574248222086","9.08561590002128","9.06865963250552","10.6445267516336","12.85418469032","11.1436621383514","12.0562545516698","10.1038013655215","8.70898019267224","8.91056299032505","9.42567903137703","9.92529779693956","8.1821931990125","7.5201514882979","7.79185827159144","7.85838963846905","7.98411269258817","8.04503249873474","7.94680575695753","",""
"Benin","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","2.98757017966033","4.24766043579143","3.11412168250274","3.34308717366304","2.71734366213831","3.06281712052376","2.73974280469367","2.80071199271973","2.43031798857801","2.69923431393944","2.62067715241937","3.12356963034106","2.90997856433075","3.11108829078591","3.04706632607983","3.03571935585348","3.61610624799481","3.71532485793792","3.84605453263907","3.99652831268365","3.85766313858612","3.9949868964233","4.04147656986334","4.18056586986225","4.26042621009311","4.27501895480159","",""
"Bhutan","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","7.32237435691543","19.4476062228107","8.66905678063191","7.3115020227543","7.1482613388817","6.88370471824357","7.1254052883039","7.48769721471943","6.60265138536399","6.48115500549794","5.11982507572844","6.35897801936693","7.15978082319972","7.1698968650746","7.58761862716501","7.72783081962581","7.10665747016134","7.77144001725679","7.6053436740097","7.88987440487123","9.16915415010982","9.78581364732617","9.73453465122877","10.0075107634532","10.0950498556878","10.2187816682369","",""
"Bolivia","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","5.7979156523847","6.81255000878796","5.44380602714725","5.67047855433401","5.2608023276879","5.02852624573197","4.6472791189312","4.48484269825661","4.7670278935748","4.87610156048546","4.54277348602652","4.2657437086721","4.55931736439894","4.40022427988677","4.07246429981244","4.04507273923733","4.09207036903185","4.21540792007018","4.38356689787702","4.90837837729827","4.40920747571773","4.47424222369029","4.89721091280372","5.26079749952187","5.31480463670933","5.38514374055044","",""
"Bosnia and Herzegovina","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","","","7.50023958602882","6.77986772810659","3.72733772583722","3.45286509499964","3.08287987164391","4.29952317247868","4.80396056779076","4.76443557995756","4.65887226006215","5.51029989628257","6.20437751601942","7.56156094614196","7.90773920298431","8.11899507927344","8.70587682076142","9.0168174401849","9.52758682924327","8.87614012651222","8.04717831238472","8.31106825909177","8.00043934585008","8.30447337580191","8.41919276060011","8.78981376311668","",""
"Botswana","MF tonnes per capita","","","","","","","","","","","","","","","","","","","","","28.9614781412567","33.1811867913341","27.5381453562696","26.6780923994039","26.3330104246866","27.3337714927003","25.7594450272889","27.7442464240275","27.3571343016046","28.8506012756034","30.7079015696954","31.0035806462411","31.9653282751395","34.9544193173144","37.5494805937628","36.7719928562347","35.5555357443354","35.0635495389372","34.6241055031186","32.9267033078718","34.8811772065175","32.2876021794453","32.4464643556753","34.406766796385","33.6794688317732","33.586591292318","",""
