ISO,Year,Indicator,Description,Source,URL,From,Imputed,Value,Corrected,Country
BEL,2001,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.49,True,Belgium
BEL,2002,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.49,False,Belgium
BEL,2003,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.49,False,Belgium
BEL,2004,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.49,True,Belgium
BEL,2005,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.48,False,Belgium
BEL,2006,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.48,True,Belgium
BEL,2007,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.48,False,Belgium
BEL,2008,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.4649999999999999,True,Belgium
BEL,2009,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.45,False,Belgium
BEL,2010,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.43,False,Belgium
BEL,2011,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.43,False,Belgium
BEL,2012,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.43,False,Belgium
BEL,2013,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.43,True,Belgium
BEL,2014,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.43,False,Belgium
BEL,2015,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.47,False,Belgium
BEL,2016,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.5,False,Belgium
BEL,2017,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.5,False,Belgium
BEL,2018,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.48,False,Belgium
BEL,2019,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,True,1.48,False,Belgium
BEL,2020,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,True,1.48,False,Belgium
BRA,2000,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.15,False,Brazil
BRA,2001,TMP,Total passenger transport Passenger-kilometres energy intensity (MJ/pkm),IEA,https://www.iea.org/data-and-statistics/data-product/energy-efficiency-indicators,MANUAL,False,1.14,False,Brazil
