ISO,Value,Year,Variable,Description,Source,URL,From
OMN,18.239655172413794,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
PAK,19.642537313432836,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
PAN,28.824233512241747,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
PER,31.354128372913753,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
PHL,32.10582402029262,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
POL,71.17061429306669,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
PRT,68.43754779060363,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
QAT,40.9698275862069,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
ROU,54.50037956767884,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
RUS,54.663911660907296,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
RWA,31.85215517241379,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
SAU,12.251293103448276,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
SEN,16.788793103448274,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
SRB,46.858620689655176,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
SLE,19.676293103448277,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
SGP,72.33420336739945,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
ESP,65.60336556135577,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
LKA,36.07672413793103,2020,AB3,Universal access - sustainable transport,sum4all,https://www.sum4all.org/gra-tool/country-performance/global,MANUAL
