ISO,Year,Value,Description,Country,Source,URL,DownloadDate,Variable,From
ECS,2018,9.41631028928063,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
ECS,2017,9.41619641315698,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
ECS,2016,9.12424738282173,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
ECA,2018,6.94521858524192,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia (excluding high income),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
ECA,2017,6.94521858524192,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia (excluding high income),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
ECA,2016,6.91700530838565,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia (excluding high income),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
TEC,2018,7.41412515764215,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia (IDA & IBRD countries),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
TEC,2017,7.41411435212516,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia (IDA & IBRD countries),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
TEC,2016,7.38575120451319,Terrestrial and marine protected areas (% of total territorial area),Europe & Central Asia (IDA & IBRD countries),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
EUU,2018,23.0836373477254,Terrestrial and marine protected areas (% of total territorial area),European Union,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
EUU,2017,23.0853450939619,Terrestrial and marine protected areas (% of total territorial area),European Union,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
EUU,2016,21.5358157666019,Terrestrial and marine protected areas (% of total territorial area),European Union,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
FCS,2018,11.4715331916611,Terrestrial and marine protected areas (% of total territorial area),Fragile and conflict affected situations,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
FCS,2017,11.4715325653283,Terrestrial and marine protected areas (% of total territorial area),Fragile and conflict affected situations,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
FCS,2016,10.9748917735988,Terrestrial and marine protected areas (% of total territorial area),Fragile and conflict affected situations,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
HPC,2018,14.9835833365067,Terrestrial and marine protected areas (% of total territorial area),Heavily indebted poor countries (HIPC),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
HPC,2017,14.9835817007506,Terrestrial and marine protected areas (% of total territorial area),Heavily indebted poor countries (HIPC),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
HPC,2016,14.3531295352364,Terrestrial and marine protected areas (% of total territorial area),Heavily indebted poor countries (HIPC),"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
IBD,2018,12.6637018735805,Terrestrial and marine protected areas (% of total territorial area),IBRD only,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
IBD,2017,12.6637030209655,Terrestrial and marine protected areas (% of total territorial area),IBRD only,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
IBD,2016,11.2982169375052,Terrestrial and marine protected areas (% of total territorial area),IBRD only,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
IBT,2018,12.7288093971378,Terrestrial and marine protected areas (% of total territorial area),IDA & IBRD total,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
IBT,2017,12.7287787814943,Terrestrial and marine protected areas (% of total territorial area),IDA & IBRD total,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
IBT,2016,11.6013062004888,Terrestrial and marine protected areas (% of total territorial area),IDA & IBRD total,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).",https://api.worldbank.org/v2/country/all/indicator/?indicator=ER.PTD.TOTL.ZS,2021-07-16,CV3,WB API
