ISO,Country,Year,pop,loss,waste,loss_capita,waste_capita
EGY,Egypt,2018,98423602.0,7794472,13482571.84136,0.07919311873995426,0.136985149571746
SLV,El Salvador,2018,6420740.0,288956,796193.514,0.04500353541803593,0.12400338808299355
EST,Estonia,2018,1321977.0,35029,130998.85969000001,0.026497435280644067,0.09909314586411111
SWZ,Eswatini,2018,1136274.0,339516,164040.06859,0.2987976491585656,0.14436664800039428
ETH,Ethiopia,2018,109224410.0,2263143,15178932.259049999,0.0207201210791617,0.13897014649976136
FJI,Fiji,2018,883490.0,87593,105911.26585,0.09914430270857622,0.11987828481363683
FIN,Finland,2018,5515525.0,249661,561739.05982,0.045265137951509604,0.1018468885228514
FRA,France,2018,67101930.0,6632215,8784505.63368,0.09883791718062357,0.13091286098149488
PYF,French Polynesia,2018,277673.0,9918,32698.2265,0.03571827293255016,0.11775803373032308
GAB,Gabon,2018,2119275.0,244604,293796.50412,0.11541871630628399,0.1386306657323849
GMB,Gambia,2018,2280092.0,38985,342723.43322,0.017097994291458415,0.15031123008194405
GEO,Georgia,2018,3726549.0,68764,576587.57328,0.01845246097663012,0.1547242699022608
DEU,Germany,2018,82905782.0,4822844,8480451.731379999,0.05817258921699816,0.10229023268099684
GHA,Ghana,2018,29767108.0,9805853,3872071.01097,0.3294190688594942,0.13007884444031312
GRC,Greece,2018,10732882.0,1197878,1829139.2234299998,0.11160823346422703,0.17042386410565213
GRD,Grenada,2018,111449.0,8594,12960.69218,0.07711150391658965,0.1162925838724439
GTM,Guatemala,2018,16346950.0,2202125,2034539.37107,0.13471167404317014,0.12445987606678922
GIN,Guinea,2018,12414292.0,1279990,1864373.43373,0.10310616183347387,0.15017960216579407
GNB,Guinea-Bissau,2018,1874304.0,79707,280418.04442,0.04252618572013932,0.14961182626724373
GUY,Guyana,2018,779007.0,169889,90585.9807,0.2180840480252424,0.11628391105599821
HTI,Haiti,2018,11123183.0,742640,1424500.9293799999,0.06676506176334598,0.1280659438381981
