,ISO,Country,Year,pop,loss,waste,loss_capita,waste_capita,normed_waste_capita,normed_loss_capita
22,BFA,Burkina Faso,2018,19751466.0,457207,2966571.52783,0.023148003292515,0.1501950046558569,43.39715130746494,95.30503215600186
23,CPV,Cabo Verde,2018,543764.0,10950,78569.49195000001,0.0201374125539756,0.1444918971281659,45.534958954959144,95.91507371387436
24,KHM,Cambodia,2018,16249795.0,2436302,2137069.6494,0.149928168324585,0.1315136375197348,50.39985454168188,69.61533332266914
25,CMR,Cameroon,2018,25216261.0,4375407,3697209.67757,0.1735152963399292,0.1466200590789411,44.73721827211506,64.83583003913753
26,CAN,Canada,2018,37065178.0,3132996,4374219.40109,0.0845266681303945,0.1180142558897194,55.460092516324075,82.86776001585021
27,CAF,Central African Republic,2018,4666375.0,148022,692716.80169,0.03172098256141,0.1484485926848999,44.05179315825586,93.56787354395394
28,TCD,Chad,2018,15477727.0,727163,2327970.4890900003,0.046981252479773,0.1504077755790627,43.31739420932411,90.47565688514973
29,CHL,Chile,2018,18729166.0,1207406,2128356.92558,0.064466618534963,0.1136386385587057,57.10029097783484,86.93256488937277
30,CHN,China,2018,1392730000.0,108118598,179448658.37161,0.0776306951096048,0.1288466956061907,51.399556684858155,84.26510375666378
31,HKG,Hong Kong,2018,7451000.0,200791,816399.16032,0.0269481948731713,0.1095690726506509,58.62576618200719,94.53499232215772
32,MAC,Macao,2018,631633.0,1549,70307.68703,0.0024523734510388,0.1113109780996243,57.972813599236076,99.4986258278445
33,COL,Colombia,2018,49661056.0,4335663,5724606.190950001,0.0873050907334713,0.1152735493774035,56.48744529077514,82.30476311576956
34,COM,Comoros,2018,832322.0,23238,121576.25151,0.0279194830846715,0.1460687708723306,44.94386844280586,94.33817839919513
35,COG,Congo Republic,2018,5244363.0,307470,768763.687,0.0586286647205771,0.1465885727208433,44.74902092125089,88.11552024565063
36,CRI,Costa Rica,2018,4999443.0,1174281,584110.62364,0.2348823658955607,0.1168351401626141,55.90208358986551,52.40090747242875
37,HRV,Croatia,2018,4087843.0,315433,506598.2613200001,0.077163677763554,0.1239280132138147,53.243322874248896,84.35973634344857
38,CUB,Cuba,2018,11338146.0,1649436,1311517.90018,0.1454766943378573,0.1156730474435591,56.337693595433635,70.51734371250042
39,CYP,Cyprus,2018,1189262.0,60433,159310.42099999997,0.0508155477935055,0.133957379450449,49.48381882560654,89.69870654892853
40,CZE,Czech Republic,2018,10629928.0,456527,1157110.17457,0.0429473275830278,0.1088539992528641,58.89381116816357,91.29305853222483
41,CIV,Cote d'Ivoire,2018,25069226.0,1965134,3674363.22956,0.0783882996627019,0.1465686746595208,44.75647970182955,84.11158894779045
42,PRK,North Korea,2018,25549606.0,993385,3181573.9021400004,0.0388806387073053,0.1245253606705324,53.01940741149779,92.11709920483122
43,DNK,Denmark,2018,5793636.0,603055,760585.8736899999,0.1040892109894373,0.1312795408082247,50.48760560330742,78.9037658505496
44,DJI,Djibouti,2018,958923.0,5783,139107.57842,0.006030724051879,0.1450664739713199,45.31957904788153,98.7735380411832
45,DMA,Dominica,2018,71626.0,24971,8308.72944,0.3486303856141624,0.1160015837824253,56.21454187607753,29.35193629685339
46,DOM,Dominican Republic,2018,10627147.0,942809,1242722.08321,0.0887170376019076,0.116938448598669,55.86335846262979,82.01865771584662
47,ECU,Ecuador,2018,17084359.0,892442,2010492.65826,0.0522373710362794,0.1176803097066738,55.58527211367517,89.41059988104514
