Country,ISO,Description,Source,Year,Value,URL,DownloadDate,Variable,From
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2000,42.22786,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2001,56.21465,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2002,56.21465,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2003,65.33537,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2004,65.3503,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2005,74.44121,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2006,74.44121,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2007,74.44121,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2008,74.44121,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2009,74.44238,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2010,74.44238,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
Algeria,DZA,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) Reporting Type G,"BirdLife International, IUCN and UNEP-WCMC (2020). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of Key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas and (where available) for Other Effective area-based Conservation Measures and from the World Database on OECMs (www.protectedplanet.net)",2011,76.58298,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=ER_MRN_MPA&pageSize=1000000000,2021-07-16,BE1.1,SDG API
